"","lambda=0.08","lambda=0.078627644930918","lambda=0.0772788318422813","lambda=0.0759531568846376","lambda=0.0746502231363449","lambda=0.0733696404847291","lambda=0.0721110255092798","lambda=0.0708740013668502","lambda=0.0696581976788262","lambda=0.0684632504202305","lambda=0.06728880181073","lambda=0.0661345002075123","lambda=0.065"
"alpha=0.99",1.33575456009384,1.3356523771112,1.33557862703017,1.33553189523493,1.33550728737079,1.33549634517924,1.33549359231202,1.33549955857422,1.33550903383433,1.33552091074815,1.33553329864352,1.33554679908974,1.33556052045025
"alpha=0.990833333333333",1.33545538780269,1.33533979477798,1.33525373901666,1.33519155706317,1.33514937130964,1.33512301529859,1.33510817734044,1.33510166735357,1.33510188522186,1.33510621474964,1.33511428624119,1.33512263447698,1.33513425946967
"alpha=0.991666666666667",1.33529439641289,1.33518775863808,1.33511044928535,1.33505718913063,1.33502246842279,1.33500523788086,1.33500011283438,1.33500366889967,1.33501353130123,1.33502724041283,1.33504461667165,1.33506337234472,1.335083503113
"alpha=0.9925",1.33589029472069,1.33578515801812,1.33571205082535,1.33566367346501,1.33563627253327,1.33562373538409,1.33562263259871,1.33563387762576,1.33564993187362,1.335669937116,1.33569283452689,1.33571692191804,1.33573992773589
"alpha=0.993333333333333",1.33561323403057,1.3355050702526,1.33542689499558,1.33537352465252,1.33534121029473,1.33532504894535,1.33532244925851,1.33533040365251,1.33534582763066,1.33536458425923,1.3353858809752,1.3354080388244,1.33542938449907
"alpha=0.994166666666667",1.33569749566437,1.33558251902114,1.33549695177125,1.3354348996465,1.3353936849602,1.33536837452083,1.33535353325124,1.3353501223208,1.33535270505392,1.33535885677131,1.33536942093959,1.33538679996459,1.3354050449021
"alpha=0.995",1.33548632295224,1.33537675965992,1.33529956429562,1.33524949279726,1.33521960602467,1.33520630926784,1.33520513059386,1.33521031137781,1.33522149131624,1.33523493891124,1.33525063949548,1.33526976207802,1.3352896641147
"alpha=0.995833333333333",1.33524570983391,1.33512728061988,1.33504190088627,1.33498142036256,1.33494130620723,1.33491400356204,1.33490063464017,1.33489643846572,1.33489630811139,1.33489842024484,1.33490461696136,1.33491243693652,1.33492458563638
"alpha=0.996666666666667",1.33591832365465,1.33582094776915,1.33575446871395,1.33571224683476,1.3356910319645,1.33568609968706,1.33569138555838,1.3357069746393,1.33572885992903,1.33575836356889,1.33579061964492,1.33582716353777,1.3358641510017
"alpha=0.9975",1.33565216502097,1.33553768023857,1.33545738034887,1.33540320583803,1.33537005925861,1.33535262665559,1.33534810488086,1.33535330624104,1.33536377863527,1.33538123920767,1.33540519495616,1.33543226523678,1.33545874350155
"alpha=0.998333333333333",1.33536444478189,1.33524842257711,1.33516281671716,1.33510437545965,1.33506616243116,1.33504805871056,1.33504211073213,1.33504691297823,1.33506167948963,1.33508337953451,1.33510982838432,1.33513834864671,1.33516700777358
"alpha=0.999166666666667",1.3353937149365,1.33526628164541,1.33517203897497,1.33510365097565,1.33505836734699,1.33502831687743,1.33501295499469,1.33500647832086,1.33500610041431,1.33501210170118,1.33502289418894,1.33503765345762,1.33505319541554
"alpha=1",1.33579391013454,1.33567206658988,1.33558366193879,1.33552344225654,1.33548463893122,1.3354632381446,1.33545848466795,1.33546335993544,1.33547654187933,1.33549344179106,1.33551471517362,1.33553563314083,1.33555684580146
