"","GF%","AdjGF%","5v5_GF%","5v5_xGF%","5v5_CF%","5v5_HDCF%","Time_Led","5v5_Sh%","5v5_Sv%","PP%","PK%","Wins","ROWins"
"GF%",1,0.979700641208651,0.81103374756843,0.325604041616109,0.260136699331892,0.250701155193574,0.6046226187902,0.364387001688087,0.34576011732774,0.286063720028839,0.195901591695086,0.414815759369006,0.452276628005496
"AdjGF%",0.979700641208651,1,0.825691196862491,0.344742594804689,0.259748660161163,0.285422272734077,0.587856114140535,0.377998852594289,0.333251569973128,0.262739794001599,0.204866912038851,0.401664479656758,0.431738521406409
"5v5_GF%",0.81103374756843,0.825691196862491,1,0.334174959307963,0.248828178229788,0.308724294361446,0.532919724008322,0.495782899256706,0.459531308856121,0.0378230460462861,-0.0470829911777826,0.321093959452423,0.337966251892435
"5v5_xGF%",0.325604041616109,0.344742594804689,0.334174959307963,1,0.762244902396892,0.823313723443844,0.180612202121765,-0.2150685791227,-0.210702276525797,-0.0325087869998221,0.118929552248135,0.10775603697422,0.0558633606622676
"5v5_CF%",0.260136699331892,0.259748660161163,0.248828178229788,0.762244902396892,1,0.535906327770579,0.147187676018408,-0.386411456517582,-0.185832191943361,-0.040421661314241,0.121403315701437,0.0962664940227824,0.0550313700985316
"5v5_HDCF%",0.250701155193574,0.285422272734077,0.308724294361446,0.823313723443844,0.535906327770579,1,0.0957253617745295,-0.149678464392923,-0.118334617174501,-0.0702296067574126,0.0807809789438747,0.0938737257238191,0.0416695049329398
"Time_Led",0.6046226187902,0.587856114140535,0.532919724008322,0.180612202121765,0.147187676018408,0.0957253617745295,1,0.398123578146843,0.0943703215637437,0.315619909942626,0.00704352011823957,0.185841035981456,0.263107357228892
"5v5_Sh%",0.364387001688087,0.377998852594289,0.495782899256706,-0.2150685791227,-0.386411456517582,-0.149678464392923,0.398123578146843,1,-0.0868602113056128,0.106826801901622,-0.0973220152084552,0.183256745054162,0.227854964948201
"5v5_Sv%",0.34576011732774,0.333251569973128,0.459531308856121,-0.210702276525797,-0.185832191943361,-0.118334617174501,0.0943703215637437,-0.0868602113056128,1,-0.0219172971259829,-0.0561708577365297,0.0633785384161743,0.0982367367948306
"PP%",0.286063720028839,0.262739794001599,0.0378230460462861,-0.0325087869998221,-0.040421661314241,-0.0702296067574126,0.315619909942626,0.106826801901622,-0.0219172971259829,1,-0.242746070397421,0.139863663068206,0.242243402472306
"PK%",0.195901591695086,0.204866912038851,-0.0470829911777826,0.118929552248135,0.121403315701437,0.0807809789438747,0.00704352011823957,-0.0973220152084552,-0.0561708577365297,-0.242746070397421,1,0.0372089480680165,-0.0134516856659335
"Wins",0.414815759369006,0.401664479656758,0.321093959452423,0.10775603697422,0.0962664940227824,0.0938737257238191,0.185841035981456,0.183256745054162,0.0633785384161743,0.139863663068206,0.0372089480680165,1,0.938098955986228
"ROWins",0.452276628005496,0.431738521406409,0.337966251892435,0.0558633606622676,0.0550313700985316,0.0416695049329398,0.263107357228892,0.227854964948201,0.0982367367948306,0.242243402472306,-0.0134516856659335,0.938098955986228,1
