"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10"
"dGF%",-0.475715876090986,0.0517214751605994,0.17612899530848,-0.0824718247950683,-0.0116726587193504,-0.0969366845267756,0.0133040616593535,-0.267022335971251,0.313006559263231,0.744454340771941
"dAdjGF%",-0.470618548081472,0.0493834997624934,0.178679609438398,-0.0410701559171629,-0.0321945770711062,-0.182192790076061,-0.0556117142876105,-0.351442611879836,0.381191216067053,-0.660548463513982
"d5v5_xGF%",-0.225944819277128,-0.534961564658247,-0.106889130227083,0.0490913007231442,-0.284879336497473,-0.430693447537309,-0.472497044458972,0.395937045951719,-0.037487958082451,0.029185450440105
"d5v5_CF%",-0.187493020294053,-0.603607271373351,-0.0246952718091955,-0.169969809840838,-0.065156538005474,0.196255864554064,0.279156975965967,-0.453260115314598,-0.494153198087808,-0.0261259491038251
"dTime_Led",-0.421332171455518,0.0128830854720748,-0.137937864231733,0.0794504123424042,-0.130069598893106,0.803988786991088,-0.188379848024213,0.297702101928598,0.0833591303120249,-0.0509478320518619
"d5v5_Sh%",-0.21694480279472,0.475421557959268,-0.156390053241921,0.433697374179903,-0.339063485571153,-0.14041356477405,-0.191618120923798,-0.254431793831683,-0.526946403263232,0.0235045385690147
"d5v5_Sv%",-0.0441215828695449,0.249538874994519,0.554659403772455,-0.628325704649132,-0.108835776951917,0.0299157233469955,-0.256823004275056,0.155720430874128,-0.35963683935891,-0.0325215203650569
"dPP%",-0.199352423779018,0.118690307940296,-0.529772669479727,-0.321860837654582,0.649559842748461,-0.089014435469852,-0.31680261329084,-0.078930060670784,-0.159573910274283,-0.00291541627174996
"dPK%",-0.096405194455155,-0.155493985288243,0.539936711753124,0.516931729973242,0.580642353576861,0.0441579043451992,-0.167411173357,0.0645023111569438,-0.191036854544618,2.61198463715195e-05
"dROWins",-0.436394297392886,0.132791169830779,-0.0411647933390085,-0.0141479525128026,0.103076385318141,-0.237725633435508,0.654977359333053,0.504950345813072,-0.187639534994332,-0.0609492541045244
